Data Movimento;Banco;Historico;Valor
02/01/2018;CAIXA;CRED SAL;7.118,00 C
02/01/2018;CAIXA;SAQUE ATM;1.500,00 D
02/01/2018;CAIXA;SAQUE ATM;1.500,00 D
04/01/2018;CAIXA;CP MAESTRO;532,66 D
04/01/2018;CAIXA;CP MAESTRO;8,84 D
10/01/2018;CAIXA;PAG BOLETO;1.203,50 D
10/01/2018;CAIXA;CP MAESTRO;80,80 D
16/01/2018;CAIXA;CP MAESTRO;63,20 D
22/01/2018;CAIXA;CP MAESTRO;62,42 D
01/02/2018;CAIXA;CRED SAL;7.470,86 C
01/02/2018;CAIXA;SAQUE ATM;1.500,00 D
02/02/2018;CAIXA;CP MAESTRO;624,98 D
05/02/2018;CAIXA;SAQUE ATM;1.500,00 D
07/02/2018;CAIXA;SAQUE ATM;1.500,00 D
08/02/2018;CAIXA;PAG BOLETO;1.335,66 D
28/02/2018;CAIXA;SAQUE ATM;1.500,00 D
01/03/2018;CAIXA;CRED SAL;7.465,51 C
05/03/2018;CAIXA;PAG BOLETO;1.428,79 D
05/03/2018;CAIXA;CP MAESTRO;483,60 D
06/03/2018;CAIXA;SAQUE ATM;1.500,00 D
15/03/2018;CAIXA;SAQUE ATM;1.500,00 D
02/04/2018;CAIXA;CRED SAL;7.470,86 C
02/04/2018;CAIXA;CP MAESTRO;568,32 D
05/04/2018;CAIXA;SAQUE ATM;1.500,00 D
09/04/2018;CAIXA;CP MAESTRO;1.299,00 D
11/04/2018;CAIXA;SAQUE ATM;1.500,00 D
16/04/2018;CAIXA;SAQUE ATM;1.500,00 D
02/05/2018;CAIXA;CRED SAL;7.470,86 C
02/05/2018;CAIXA;SAQUE ATM;1.500,00 D
02/05/2018;CAIXA;CP MAESTRO;470,84 D
03/05/2018;CAIXA;SAQUE ATM;1.500,00 D
07/05/2018;CAIXA;PAG BOLETO;1.316,93 D
11/05/2018;CAIXA;CP MAESTRO;140,70 D
11/05/2018;CAIXA;CP MAESTRO;19,90 D
29/05/2018;CAIXA;SAQUE ATM;1.500,00 D
30/05/2018;CAIXA;SAQUE ATM;1.500,00 D
30/05/2018;CAIXA;CP MAESTRO;518,88 D
01/06/2018;CAIXA;CRED SAL;7.470,86 C
05/06/2018;CAIXA;CRED TEV;11.585,32 C
05/06/2018;CAIXA;APLIC POUP;11.585,00 D
05/06/2018;CAIXA;APLIC POUP;30.000,00 D
06/06/2018;CAIXA;PAG BOLETO;1.367,48 D
14/06/2018;CAIXA;DOC-IR;4.044,85 C
28/06/2018;CAIXA;SAQUE ATM;1.500,00 D
29/06/2018;CAIXA;SAQUE ATM;1.500,00 D
